code équipement;regroupement_1;regroupement_2;regroupement_3;libellé équipement;gamme;domaine_code;domaine_libellé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AR01;A101;A104;;Police, gendarmerie;intermédiaire;A;Services aux particuliers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AR02;A120;A121; ;Centre de finances publiques;intermédiaire;A;Services aux particuliers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B102;B102;;;Supermarché;intermédiaire;B;Commerces;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BR03;B301;F311;;Librairie, papeterie, journaux;intermédiaire;B;Commerces;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B302;B302;;;Magasin de vêtements;intermédiaire;B;Commerces;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B303;B303;;;Magasin d'équipements du foyer;intermédiaire;B;Commerces;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B304;B304;;;Magasin de chaussures;intermédiaire;B;Commerces;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B305;B305;;;Magasin d'électroménager et de matériel audio-vidéo;intermédiaire;B;Commerces;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B306;B306;;;Magasin de meubles;intermédiaire;B;Commerces;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B307;B307;;;Magasin d'articles de sports et de loisirs;intermédiaire;B;Commerces;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B311;B311;;;Horlogerie, bijouterie;intermédiaire;B;Commerces;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B313;B313;;;Magasin d'optique;intermédiaire;B;Commerces;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B315;B315;;;Magasin de matériel médical et orthopédique;intermédiaire;B;Commerces;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B316;B316;;;Station service;intermédiaire;B;Commerces;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BR02;B103;B309;;Droguerie, quincaillerie, bricolage;intermédiaire;B;Commerces;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C201;C201;;;Collège;intermédiaire;C;Enseignement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D231;D231;;;Sage-femme;intermédiaire;D;Santé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D235;D235;;;Orthophoniste;intermédiaire;D;Santé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D237;D237;;;Pédicure, podologue;intermédiaire;D;Santé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D243;D243;;;Psychologue;intermédiaire;D;Santé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D302;D302;;;Laboratoire d'analyses et de biologie médicale;intermédiaire;D;Santé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D303;D303;;;Ambulance;intermédiaire;D;Santé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D401;D401;;;Personnes âgées : hébergement;intermédiaire;D;Santé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D403;D403;;;Personnes âgées : services d'aide;intermédiaire;D;Santé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D502;D502;;;Établissement d’accueil du jeune enfant;intermédiaire;D;Santé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F101;F101;;;Bassin de natation;intermédiaire;F;Sports, loisirs et culture;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F107;F107;;;Athlétisme;intermédiaire;F;Sports, loisirs et culture;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F117;F117;;;Roller, skate, vélo bicross ou freestyle;intermédiaire;F;Sports, loisirs et culture;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FR02;F112;F114;F120;Salle de sport spécialisée;intermédiaire;F;Sports, loisirs et culture;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A122;A122;;;Pôle emploi : réseau de proximité;supérieure;A;Services aux particuliers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A303;A303;;;Location d'automobiles et d'utilitaires légers;supérieure;A;Services aux particuliers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A503;A503;;;Agence de travail temporaire;supérieure;A;Services aux particuliers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B101;B101;;;Hypermarché;supérieure;B;Commerces;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
