REG;Région;DEP;CODARR;CODCAN;CODCOM;COM;Commune;PMUN;PCAP;PTOT;D1_Etablissements_de_sante_humaine;D2_Equipements_medico_paramedicaux;D3_Structures_de_sante_publique;D4_Actions_sociales;D5_Hebergements_sociaux;D6_Equipements_educatifs_sportifs;D7_Autres_equipements;DENS;nb_equipements_total;D1_Etablissements_de_sante_humaine_1000;D2_Equipements_medico_paramedicaux_1000;D3_Structures_de_sante_publique_1000;D4_Actions_sociales_1000;D5_Hebergements_sociaux_1000;D6_Equipements_educatifs_sportifs_1000;D7_Autres_equipements_1000
1;Guadeloupe;971;2;15;120;97120;Pointe-à-Pitre;14486;90;14576;2.0;333.0;22.0;10.0;4.0;12.0;2.0;2;385;0.14;22.85;1.51;0.69;0.27;0.82;0.14
1;Guadeloupe;971;1;6;124;97124;Saint-Claude;10700;200;10900;3.0;40.0;5.0;2.0;1.0;4.0;0.0;4;55;0.28;3.67;0.46;0.18;0.09;0.37;0.0
1;Guadeloupe;971;2;16;125;97125;Saint-François;13004;146;13150;1.0;160.0;8.0;1.0;2.0;1.0;0.0;3;173;0.08;12.17;0.61;0.08;0.15;0.08;0.0
1;Guadeloupe;971;1;99;129;97129;Sainte-Rose;17630;248;17878;0.0;122.0;9.0;3.0;4.0;2.0;0.0;3;140;0.0;6.82;0.5;0.17;0.22;0.11;0.0
2;Martinique;972;3;  ;207;97207;Ducos;17912;254;18166;2.0;104.0;8.0;2.0;1.0;5.0;1.0;2;123;0.11;5.72;0.44;0.11;0.06;0.28;0.06
2;Martinique;972;3;  ;210;97210;Le François;15996;150;16146;5.0;139.0;9.0;5.0;4.0;3.0;1.0;3;166;0.31;8.61;0.56;0.31;0.25;0.19;0.06
2;Martinique;972;3;  ;220;97220;Rivière-Pilote;11712;118;11830;1.0;96.0;5.0;2.0;1.0;6.0;1.0;4;112;0.08;8.11;0.42;0.17;0.08;0.51;0.08
2;Martinique;972;3;  ;221;97221;Rivière-Salée;11887;221;12108;5.0;114.0;5.0;2.0;0.0;2.0;0.0;4;128;0.41;9.42;0.41;0.17;0.0;0.17;0.0
2;Martinique;972;3;  ;223;97223;Saint-Esprit;10270;102;10372;2.0;73.0;4.0;3.0;1.0;2.0;1.0;4;86;0.19;7.04;0.39;0.29;0.1;0.19;0.1
2;Martinique;972;1;  ;224;97224;Saint-Joseph;16135;208;16343;1.0;94.0;7.0;3.0;4.0;3.0;1.0;4;113;0.06;5.75;0.43;0.18;0.24;0.18;0.06
2;Martinique;972;2;  ;228;97228;Sainte-Marie;14650;184;14834;2.0;146.0;8.0;3.0;1.0;4.0;0.0;4;164;0.13;9.84;0.54;0.2;0.07;0.27;0.0
2;Martinique;972;1;  ;229;97229;Schœlcher;19341;177;19518;3.0;222.0;17.0;3.0;4.0;4.0;0.0;1;253;0.15;11.37;0.87;0.15;0.2;0.2;0.0
2;Martinique;972;2;  ;230;97230;La Trinité;11747;167;11914;9.0;157.0;9.0;5.0;2.0;2.0;0.0;4;184;0.76;13.18;0.76;0.42;0.17;0.17;0.0
3;Guyane;973;1;  ;305;97305;Macouria;18847;173;19020;0.0;109.0;4.0;0.0;2.0;0.0;0.0;5;115;0.0;5.73;0.21;0.0;0.11;0.0;0.0
3;Guyane;973;2;  ;306;97306;Mana;11764;122;11886;0.0;12.0;4.0;0.0;0.0;0.0;0.0;6;16;0.0;1.01;0.34;0.0;0.0;0.0;0.0
4;La Réunion;974;2;1;401;97401;Les Avirons;11434;227;11661;0.0;88.0;5.0;0.0;0.0;0.0;0.0;4;93;0.0;7.55;0.43;0.0;0.0;0.0;0.0
4;La Réunion;974;3;6;402;97402;Bras-Panon;13344;215;13559;3.0;80.0;8.0;3.0;1.0;3.0;1.0;2;99;0.22;5.9;0.59;0.22;0.07;0.22;0.07
4;La Réunion;974;2;1;404;97404;L'Étang-Salé;13836;194;14030;2.0;149.0;6.0;0.0;1.0;0.0;0.0;2;158;0.14;10.62;0.43;0.0;0.07;0.0;0.0
4;La Réunion;974;2;22;405;97405;Petite-Île;12617;155;12772;1.0;101.0;10.0;0.0;2.0;2.0;0.0;4;116;0.08;7.91;0.78;0.0;0.16;0.16;0.0
