CODGEO,LIBGEO,PMUN21,DENS,NB_Établissement_sante_court_sejour,NB_Établissement_sante_moyen_sejour,NB_Établissement_sante_long_sejour,NB_Établissement_psychiatrique,NB_Centre_lutte_cancer,NB_Urgences,NB_Maternite,NB_Centre_de_sante,NB_Structures_psychiatriques_en_ambulatoire,NB_Centre_medecine_preventive,NB_Dialyse,NB_Hospitalisation_a_domicile,NB_Maison_de_sante_pluridisciplinaire,NB_Laboratoire_d'analyses_et_de_biologie_medicale,NB_Ambulance,NB_Transfusion_sanguine,NB_Établissement_thermal,NB_Pharmacie,NB_Établissement_sante_court_sejour_par_1000h,NB_Établissement_sante_moyen_sejour_par_1000h,NB_Établissement_sante_long_sejour_par_1000h,NB_Établissement_psychiatrique_par_1000h,NB_Centre_lutte_cancer_par_1000h,NB_Urgences_par_1000h,NB_Maternite_par_1000h,NB_Centre_de_sante_par_1000h,NB_Structures_psychiatriques_en_ambulatoire_par_1000h,NB_Centre_medecine_preventive_par_1000h,NB_Dialyse_par_1000h,NB_Hospitalisation_a_domicile_par_1000h,NB_Maison_de_sante_pluridisciplinaire_par_1000h,NB_Laboratoire_d'analyses_et_de_biologie_medicale_par_1000h,NB_Ambulance_par_1000h,NB_Transfusion_sanguine_par_1000h,NB_Établissement_thermal_par_1000h,NB_Pharmacie_par_1000h,NB_EQUIP_SANTE_TOTAL,NB_EQUIP_SANTE_PAR_1000H,ECART_EQUIP_SANTE,DIVERSITE_EQUIP_SANTE
05023,Briançon,10561,2,1,5,1,3,0,1,1,2,1,0,2,0,0,1,2,1,0,6,0.0946880030300161,0.4734400151500805,0.0946880030300161,0.2840640090900483,0.0,0.0946880030300161,0.0946880030300161,0.1893760060600322,0.0946880030300161,0.0,0.1893760060600322,0.0,0.0,0.0946880030300161,0.1893760060600322,0.0946880030300161,0.0,0.5681280181800966,27,2.5565760818104346,6,13
06012,Beausoleil,12674,2,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07890168849613381,0.0,0.0,0.0,0.0,0.31560675398453525,0.0,0.0,0.0,0.3945084424806691,10,0.7890168849613381,5,3
06033,Carros,13277,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1506364389545831,0.0,0.0,0.0,0.0,0.07531821947729155,0.07531821947729155,0.0,0.0,0.22595465843187468,7,0.5272275363410409,3,4
06084,Mouans-Sartoux,10531,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28487323141202164,0.0,0.0,0.0,0.28487323141202164,6,0.5697464628240433,3,2
06085,Mougins,19677,4,1,1,0,1,0,0,0,0,0,0,1,0,0,2,6,0,0,7,0.05082075519642222,0.05082075519642222,0.0,0.05082075519642222,0.0,0.0,0.0,0.0,0.0,0.0,0.05082075519642222,0.0,0.0,0.10164151039284444,0.3049245311785333,0.0,0.0,0.3557452863749555,19,0.9655943487320222,7,7
06104,Roquebrune-Cap-Martin,12371,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08083420903726457,0.0,0.0,0.40417104518632285,6,0.4850052542235874,5,2
06149,La Trinité,10276,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2,4,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09731413001167769,0.0,0.0,0.0,0.09731413001167769,0.19462826002335537,0.38925652004671074,0.0,0.0,0.4865706500583885,13,1.26508369015181,5,5
06152,Valbonne,12754,4,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07840677434530344,0.0,0.0,0.0,0.07840677434530344,0.15681354869060687,0.15681354869060687,0.0,0.0,0.31362709738121375,10,0.7840677434530343,4,5
06157,Vence,19415,2,0,3,0,0,0,0,0,0,2,0,0,0,0,2,3,0,0,7,0.0,0.1545197012619109,0.0,0.0,0.0,0.0,0.0,0.0,0.10301313417460727,0.0,0.0,0.0,0.0,0.10301313417460727,0.1545197012619109,0.0,0.0,0.36054596961112545,17,0.8756116404841617,7,5
06161,Villeneuve-Loubet,16779,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11919661481613922,0.11919661481613922,0.0,0.0,0.2979915370403481,9,0.5363847666726266,5,3
07010,Annonay,16873,3,1,1,0,3,0,1,1,1,4,0,2,0,0,2,2,0,0,8,0.059266283411367277,0.059266283411367277,0.0,0.17779885023410183,0.0,0.059266283411367277,0.059266283411367277,0.059266283411367277,0.2370651336454691,0.0,0.11853256682273455,0.0,0.0,0.11853256682273455,0.11853256682273455,0.0,0.0,0.4741302672909382,26,1.5409233686955492,8,11
07019,Aubenas,12360,2,2,2,0,2,0,1,1,2,3,0,2,1,1,1,3,0,0,5,0.16181229773462782,0.16181229773462782,0.0,0.16181229773462782,0.0,0.08090614886731391,0.08090614886731391,0.16181229773462782,0.24271844660194175,0.0,0.16181229773462782,0.08090614886731391,0.08090614886731391,0.08090614886731391,0.24271844660194175,0.0,0.0,0.4045307443365696,26,2.103559870550162,5,13
07102,Guilherand-Granges,11203,1,1,0,0,1,0,1,1,0,2,0,0,0,0,3,1,0,0,4,0.08926180487369455,0.0,0.0,0.08926180487369455,0.0,0.08926180487369455,0.08926180487369455,0.0,0.1785236097473891,0.0,0.0,0.0,0.0,0.26778541462108363,0.08926180487369455,0.0,0.0,0.3570472194947782,14,1.2496652682317235,4,8
07324,Tournon-sur-Rhône,11191,2,1,1,0,0,0,0,0,1,1,0,0,0,0,2,2,0,0,4,0.08935751943526048,0.08935751943526048,0.0,0.0,0.0,0.0,0.0,0.08935751943526048,0.08935751943526048,0.0,0.0,0.0,0.0,0.17871503887052095,0.17871503887052095,0.0,0.0,0.3574300777410419,12,1.0722902332231257,4,7
08409,Sedan,16608,2,2,1,1,2,0,1,1,1,2,0,0,0,0,2,1,0,0,10,0.12042389210019268,0.06021194605009634,0.06021194605009634,0.12042389210019268,0.0,0.06021194605009634,0.06021194605009634,0.06021194605009634,0.12042389210019268,0.0,0.0,0.0,0.0,0.12042389210019268,0.06021194605009634,0.0,0.0,0.6021194605009633,24,1.445086705202312,10,11
09225,Pamiers,16394,2,0,0,0,1,0,0,0,0,1,2,1,0,1,2,1,0,0,6,0.0,0.0,0.0,0.0609979260705136,0.0,0.0,0.0,0.0,0.0609979260705136,0.1219958521410272,0.0609979260705136,0.0,0.0609979260705136,0.1219958521410272,0.0609979260705136,0.0,0.0,0.3659875564230816,15,0.9149688910577041,6,8
10081,La Chapelle-Saint-Luc,12299,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,3,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08130742336775348,0.0,0.0,0.0,0.0,0.08130742336775348,0.16261484673550697,0.24392227010326042,0.0,0.0,0.4065371168387674,12,0.9756890804130417,5,5
10323,Romilly-sur-Seine,14766,2,2,1,0,4,0,1,1,1,0,0,1,1,1,1,2,0,0,7,0.13544629554381687,0.06772314777190844,0.0,0.27089259108763375,0.0,0.06772314777190844,0.06772314777190844,0.06772314777190844,0.0,0.0,0.06772314777190844,0.06772314777190844,0.06772314777190844,0.06772314777190844,0.13544629554381687,0.0,0.0,0.47406203440335903,23,1.557632398753894,7,12
10333,Saint-André-les-Vergers,12775,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0.07827788649706457,0.07827788649706457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07827788649706457,0.0,0.0,0.0,0.0,0.3131115459882583,7,0.547945205479452,4,4
10362,Sainte-Savine,10515,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0951022349025202,0.0,0.0,0.0,0.0,0.0,0.0951022349025202,0.0951022349025202,0.0,0.0,0.47551117451260105,8,0.7608178792201616,5,4
